place,count,normalized,examples,lat,lon,address
Rome,15,Rome,"['Besides this, observing the accidents that were indigenous and familiar at Rome, conflagrations, and tumbling down of houses owing to their weight and crowded state, he bought slaves, who were architects and builders.', 'thus the greatest part of Rome fell into the hands of Crassus: but, though he had so many artizans, he built no house except his own; for he used to say that those who were fond of building were ruined by themselves, without the aid of any opponent.']",41.8933203,12.4829321,"Roma, Roma Capitale, Lazio, Italia"
Carrhæ,7,Carrhæ,"['There were with Publius two Greeks, who belonged to the dwellers in those parts in Carrhæ, Hieronymus and Nikomachus, both of whom attempted to persuade Publius to retire with them, and to make his escape to Ichnæ a city which had taken the side of the Romans, and was not far off.', 'After frequently turning from their route, and frequently putting themselves in order of battle, and taking up the wounded who followed, and then laying them down again, they lost much time on the march, with the exception of three hundred horsemen, with Ignatius at their head, who reached Carrhæ about midnight.']",36.8710059,39.0251364,"Harran, Şanlıurfa, Güneydoğu Anadolu Bölgesi, Türkiye"
Syria,6,Syria,"[""Shortly after, they again surrounded the Senate-house with armed men, and, after driving Cato out of the Forum, and killing some persons who opposed them, they procured another five years of administration to be added to Cæsar's term, and the two provinces of Syria and Iberia to be given to them."", 'When the lots were cast, Crassus got Syria, and Pompeius had Iberia.\n\nXVI.']",34.8147886,38.4231781,"سورية, سوريا"
Iberia,6,Iberia,"['Crassus, being very young, escaped immediate danger; but, seeing that he was hemmed in on all sides, and hunted by the tyrants, he took with him three friends and ten slaves; and, using wonderful expedition, made his escape to Iberia, having been there before, when his father was Prætor, and having made himself friends.', 'But afterwards, at least, they were on friendly terms, and, when Cæsar was going to Iberia, as prætor, and had no money in consequence of his creditors having come upon him and seizing all his outfit, Crassus did not leave him in this difficulty, but got him released, by becoming security for him to the amount of eight hundred and thirty talents.']",39.8963997,-4.4974366,"Iberia, España"
Gaul,5,Gaul,"['Spartacus, after defeating the prætor himself in many other battles, and at last seizing his lictors and his horse, now became great and formidable: but still he formed a just judgment of the state of affairs and, not expecting to get the advantage over the power of the Romans, he designed to lead his forces to the Alps; thinking that it was advisable for them to cross the mountains and to go to their several homes, some to Thrace and some to Gaul.', 'Spartacus now attempted to force his way towards the Alps; and Cassius who ""was the governor of Gaul upon the Padus, met him with ten thousand men, and a battle was fought, in which Cassius was defeated with great lose, and with difficulty made his escape.']",50.1813995,7.6535842,"Gaul, Kestert, Loreley, Rhein-Lahn-Kreis, Rheinland-Pfalz, Deutschland"
Italy,4,Italy,"['When Sulla had passed over the sea to Italy, he wished all the young men who were with him to aid him actively, and he appointed them to different duties.', 'The insurrection of the gladiators and their devastation of Italy, which is generally called the war of Spartacus, originated as follows:--One Lentulus Batiates kept gladiators in Capua, of whom the majority, who were Gauls and Thracians, had been closely confined, not for any misbehaviour on their part, but through the villainy of their purchaser, for the purpose of fighting in the games.']",42.6384261,12.674297,Italia
Mesopotamia,4,Mesopotamia,"['On his arrival, matters at first turned out fully equal to his expectation; for he easily threw a bridge over the Euphrates, and got his army across safely, and he also obtained possession of many cities in Mesopotamia which surrendered.', 'From the cities of Mesopotamia, in which there were Roman garrisons, some soldiers, who made their escape at great hazard, brought reports that caused much anxiety, having been eye-witnesses of the numbers of the enemy, and of their mode of attacking the cities; and, as is usual, they magnified everything which they reported.']",34.9034867,42.0588806,"Mesopotamia / Mezopotamya / Μεσοποταμία / بلاد الرافدين / ܒܝܬ ܢܗܪܝܢ, العراق"
Armenia,4,Armenia,"['He attempted to persuade Crassus to invade Parthia through Armenia; for, he said, the army would not only have abundance of provision in its march through the country by reason of him supplying them, but would also advance safely, having in their front many mountains and continuous hills, and ground unfavourable for cavalry, in which alone lay the strength of the Parthians.', 'For Hyrodes had at first divided his forces into two parts, and he was himself ravaging Armenia to take vengeance on Artavasdes; but he sent Surena against the Romans, not because he despised them, as some say, for it was not consistent for him to disdain Crassus as an antagonist, the first of the Romans, and to war against Artavasdes and take the villages of Armenia; but it seems that he really feared the danger, and that he was on the watch to await the result, and that he put Surena in the front to try the fortune of a battle, and so to divert the enemy.']",40.7696272,44.6736646,Հայաստան
Forum,3,Forum,"['And the result to each of them was something unusual; for, when Pompeius was absent from Rome, his name and his influence in the State, by reason of his military exploits, was superior to that of Crassus; but when Pompeius was at Rome, he often fell short of Crassus in influence, for his haughty temper and habitual pride made him avoid crowds and retire from the Forum, and seldom give his aid to those who sought it, and then not readily; his object being to keep his power at a higher pitch, by exercising it only on his own behalf.', 'This alarmed the partizans of Pompeius, who now abstained from no proceeding, however disorderly and violent; but, in addition to all the rest, they placed a body of men to lie in wait and attack Domitius as he was going down to the Forum, while it was still dark, with his partizans, and they killed the man that held the light, and wounded many, among whom was Cato.']",55.6812917,12.5524508,"Forum, Julius Thomsens Plads, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 1925, Danmark"
Seleukeia,3,Seleukeia,"['This seemed to be the first blunder of Crassus, or at least, it was the greatest blunder that he committed next to the expedition itself; for he ought to have advanced and to have secured Babylon and Seleukeia, two cities which were always hostile to the Parthians; instead of which, he gave his enemies time to make preparation.', 'However, Cassius again had some conversation with Crassus, and advised him at least to give his troops rest in some of the garrisoned cities, till he should get some certain information about the enemy; but if he would not do this, to advance towards Seleukeia along the river.']",36.3778166,33.9260372,"Silifke, Mersin, Akdeniz Bölgesi, Türkiye"
